place,municipality,votes.for.sd.parlament.2014,votes.for.m.parlament.2014,asylum.seekers.per.1000.inh
157,Härryda,12.58,29.5,5.46
158,Göteborg,9.64,23.86,5.4
159,Sorsele,13.18,11.3,5.39
160,Herrljunga,17.4,18.9,5.28
161,Järfälla,10.23,28.98,5.19
162,Kristianstad,21.45,22.46,5
163,Alingsås,10.81,22.63,4.97
164,Växjö,12.23,24.01,4.95
165,Bjurholm,10.08,21.03,4.93
166,Katrineholm,14.3,19.03,4.92
167,Örnsköldsvik,7,14.87,4.84
168,Sotenäs,12.41,31.45,4.82
169,Tanum,11.76,27.88,4.8
170,Osby,25.4,16.15,4.72
171,Enköping,13.51,26.47,4.7
172,Huddinge,10.45,30.49,4.62
173,Stockholm,6.64,27.73,4.45
174,Motala,16.24,18.66,4.36
175,Helsingborg,17.43,27.31,4.2
176,Sala,15.4,19.88,4.04
177,Uppsala,8.13,22.31,4.04
178,Uddevalla,15.42,20.49,4.02
179,Salem,11.39,30.67,3.94
180,Jönköping,12.54,21.91,3.88
181,Norsjö,9.68,8.62,3.83
182,Köping,17.45,17.4,3.8
183,Malå,10.63,8.63,3.8
184,Oxelösund,14.03,17.13,3.77
185,Piteå,7.6,11.6,3.73
186,Kalix,11.49,11.54,3.72
187,Burlöv,19.28,21.1,3.62
188,Ängelholm,17.57,29.51,3.61
189,Eslöv,21.47,20.01,3.6
190,Solna,7.71,29.91,3.59
191,Svedala,24.09,26.86,3.34
192,Örebro,11.57,20.98,3.31
193,Kalmar,13.14,23.47,3.27
194,Överkalix,13.01,8.14,3.2
195,Hallsberg,16.66,14.64,3.14
196,Mark,14.77,18.92,3.11
197,Västerås,12.95,24.8,3.06
198,Gnosjö,15.88,20.73,2.98
199,Sollentuna,7.13,36.07,2.85
200,Knivsta,10.79,30.64,2.82
201,Trelleborg,23.8,23.86,2.8
202,Åsele,10.94,11.67,2.78
203,Hallstahammar,16.63,15,2.77
204,Ydre,14.3,17.65,2.76
205,Linköping,11.17,24.19,2.73
206,Ljungby,16.4,20.27,2.71
207,Nordmaling,9.32,13.59,2.71
208,Laholm,18.31,24.79,2.68
209,Luleå,8.84,15.92,2.64
210,Lidköping,12.47,19.78,2.53
211,Orsa,20.75,14.46,2.48
212,Kumla,16.25,17.96,2.44
213,Tierp,14.26,15.1,2.43
214,Mullsjö,16.01,16.69,2.42
215,Nora,15.42,16.35,2.4
216,Markaryd,21.1,19.63,2.31
217,Malung-Sälen,17.29,22.57,2.29
218,Leksand,11.78,23.72,2.18
219,Vaxholm,6.7,41.08,2.15
220,Kinda,16.66,19.23,2.14
221,Emmaboda,15.33,16.61,2.12
222,Nacka,6.51,37.12,2.12
223,Degerfors,14.43,10.57,2.11
224,Båstad,14.79,34.67,2.1
225,Upplands Väsby,10.92,28.43,2.1
226,Gagnef,17.28,18.09,2.1
227,Strömstad,13.53,23.03,2.08
228,Robertsfors,6.81,11.14,2.08
229,Höör,20.99,22.39,2.05
230,Nynäshamn,14.74,26.37,2.02
231,Arjeplog,14.75,9.83,2.01
232,Skurup,25.07,23.64,1.93
233,Ale,16.25,22.19,1.89
234,Vaggeryd,15.47,17.84,1.82
235,Vadstena,12.45,25.24,1.76
236,Gnesta,13.24,23.4,1.73
237,Ockelbo,20.72,12.93,1.73
238,Karlstad,9.56,23.28,1.7
239,Munkfors,11.37,9.7,1.64
240,Smedjebacken,18.47,15,1.59
241,Älvdalen,21.81,13.53,1.55
242,Eda,15.22,17.66,1.54
243,Håbo,14.85,33.78,1.5
244,Vindeln,9.68,15.32,1.5
245,Tyresö,9.6,34.51,1.49
246,Hörby,27.4,19.45,1.47
247,Partille,11.61,27.3,1.44
248,Österåker,9.75,37.39,1.43
249,Vallentuna,10.33,36.34,1.39
250,Öckerö,10.56,30.21,1.35
251,Storuman,11.59,13.14,1.34
252,Heby,16.48,16.35,1.34
253,Värnamo,13.41,20.39,1.3
254,Umeå,5.65,16.5,1.29
255,Mjölby,14.91,21.01,1.29
256,Essunga,15.98,24.24,1.27
257,Vårgårda,15.71,18.04,1.27
258,Tomelilla,25.55,20.44,1.24
259,Falun,12.84,23.19,1.16
260,Lidingö,6.43,44.72,1.15
261,Sjöbo,29.96,23.19,1.14
262,Söderköping,16.53,26,1.13
263,Haparanda,13.46,13.25,1.11
264,Älmhult,14.95,22.47,1.08
265,Lund,9.21,22.74,1.07
266,Täby,6.45,45.3,1.06
267,Staffanstorp,17.29,31.13,1.01
268,Östhammar,13.21,21.03,0.98
269,Vara,17.08,25.69,0.96
270,Nykvarn,17.97,31.54,0.95
271,Arvidsjaur,13.06,10.15,0.93
272,Kungsbacka,11.99,38,0.92
273,Hammarö,8.34,25.8,0.86
274,Vännäs,8.49,12.82,0.82
275,Gotland,8.22,21.31,0.79
276,Trosa,12.19,32.27,0.77
277,Kil,14.58,18.73,0.76
278,Kungälv,13.61,26.12,0.74
279,Lycksele,10.46,14.14,0.73
280,Bollebygd,18.51,24.59,0.7
281,Värmdö,10.4,37.41,0.68
282,Lerum,12.03,27.38,0.66
283,Stenungsund,13.75,28.46,0.64
284,Danderyd,5.3,49.98,0.53
285,Vellinge,16.46,48.55,0.41
286,Kävlinge,18.92,29.37,0.37
287,Ekerö,9.35,38.87,0.3
288,Lekeberg,18.16,16.91,0.27
289,Lomma,12.63,39.91,0.22
290,Habo,15.43,22.66,0.09
